correctAns,imagePath,sphereColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,space,4.71949141739,,,,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/5075-red.jpg,red,0,0,0,8,,,j,1,1.68744652071,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/2550-purple.jpg,purple,0,1,1,6,,,j,0,0.567354730811,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/025-green.jpg,green,0,2,2,1,,,j,0,0.499455483627,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/2550-red.jpg,red,0,3,3,4,,,j,0,0.501453124054,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/75-green.jpg,green,0,4,4,13,,,j,1,0.500287383642,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/025-red.jpg,red,0,5,5,0,,,j,0,0.500647693585,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/75-blue.jpg,blue,0,6,6,11,,,j,1,0.500237145525,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/2550-blue.jpg,blue,0,7,7,3,,,j,0,0.501172762944,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/2550-green.jpg,green,0,8,8,5,,,j,0,0.50005726065,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/5075-blue.jpg,blue,0,9,9,7,,,j,1,0.50085350781,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/5075-green.jpg,green,0,10,10,9,,,j,1,0.50024794942,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/75-red.jpg,red,0,11,11,12,,,j,1,0.500724941443,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/5075-purple.jpg,purple,0,12,12,10,,,j,1,0.499820655321,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
j,imagesDK/75-purple.jpg,purple,0,13,13,14,,,j,1,0.500983694759,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
f,imagesDK/025-purple.jpg,purple,0,14,14,2,,,j,0,0.500808131445,2016_Jul_14_1218,59.8142098747,gloopPresentation,001,s999,
