correctAns,imagePath,sphereColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,space,1.92081392233,,,,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/2550-green.jpg,green,0,0,0,5,,,j,0,1.43849719963,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/75-green.jpg,green,0,1,1,13,,,j,1,0.500042135196,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/025-purple.jpg,purple,0,2,2,2,,,j,0,0.500562882999,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/75-red.jpg,red,0,3,3,12,,,j,1,0.500422972542,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/75-purple.jpg,purple,0,4,4,14,,,j,1,0.499906006102,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/2550-blue.jpg,blue,0,5,5,3,,,j,0,0.500701713067,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/75-blue.jpg,blue,0,6,6,11,,,j,1,0.500285222863,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/025-red.jpg,red,0,7,7,0,,,j,0,0.500083190002,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/5075-blue.jpg,blue,0,8,8,7,,,j,1,0.500276579745,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/2550-red.jpg,red,0,9,9,4,,,j,0,0.500289004227,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/5075-red.jpg,red,0,10,10,8,,,j,1,0.00116898158194,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/5075-green.jpg,green,0,11,11,9,,,j,1,0.500128026171,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
j,imagesDK/5075-purple.jpg,purple,0,12,12,10,,,j,1,0.500410007866,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/2550-purple.jpg,purple,0,13,13,6,,,j,0,0.500147473185,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
f,imagesDK/025-green.jpg,green,0,14,14,1,,,j,0,0.500118302665,2016_Jul_14_1216,59.8078327224,gloopPresentation,001,s999,
